epoch,timestamp,open,high,low,close,volume,usd_volume,trades
1609549200,2021-01-02 01:00:00,36.995,37.307,36.794,37.279,127798.97,4733879.01454,11922
1609552800,2021-01-02 02:00:00,37.274,37.380,37.228,37.240,46417.28,1731754.06351,6762
1609556400,2021-01-02 03:00:00,37.240,37.625,37.195,37.591,64143.29,2399492.66428,7588
1609560000,2021-01-02 04:00:00,37.588,37.588,37.410,37.465,32651.41,1223053.53140,5633
1609563600,2021-01-02 05:00:00,37.467,37.819,37.410,37.707,69283.11,2606013.46064,6994
1609567200,2021-01-02 06:00:00,37.712,37.717,37.456,37.529,56204.53,2111191.58122,6907
1609570800,2021-01-02 07:00:00,37.530,37.588,37.378,37.389,22460.76,841846.38607,5275
1609574400,2021-01-02 08:00:00,37.389,37.438,37.089,37.188,74307.85,2766761.28557,8227
1609578000,2021-01-02 09:00:00,37.181,37.297,36.993,37.059,50140.13,1862251.54304,7925
1609581600,2021-01-02 10:00:00,37.054,37.499,37.000,37.229,72579.35,2703448.93480,11157
1609585200,2021-01-02 11:00:00,37.230,37.398,37.223,37.345,18545.06,692243.36001,5282
1609588800,2021-01-02 12:00:00,37.349,37.958,36.881,37.930,194124.53,7254789.49915,16483
1609592400,2021-01-02 13:00:00,37.940,38.300,37.655,38.184,200272.80,7626628.34208,16757
1609596000,2021-01-02 14:00:00,38.191,38.211,37.735,38.045,127518.96,4838860.11553,11506
1609599600,2021-01-02 15:00:00,38.045,38.250,37.968,38.189,83252.70,3174386.03953,9435
1609603200,2021-01-02 16:00:00,38.193,38.500,38.000,38.493,216935.98,8283681.70993,17852
1609606800,2021-01-02 17:00:00,38.499,39.060,38.430,38.585,301326.87,11672438.96351,25132
1609610400,2021-01-02 18:00:00,38.579,38.590,38.130,38.162,173964.85,6668644.26859,13487
1609614000,2021-01-02 19:00:00,38.182,38.312,38.019,38.118,100206.12,3823701.52856,10235
1609617600,2021-01-02 20:00:00,38.124,38.170,37.313,37.470,230736.40,8727214.26262,18606
1609621200,2021-01-02 21:00:00,37.460,38.040,37.200,37.969,194547.00,7349127.36693,17731
1609624800,2021-01-02 22:00:00,37.969,38.188,37.926,38.138,55526.30,2114359.08333,8056
1609628400,2021-01-02 23:00:00,38.139,38.390,37.937,38.271,76033.47,2903404.29964,8276
1609632000,2021-01-03 00:00:00,38.271,38.455,38.036,38.077,88402.10,3379683.57538,9190
1609635600,2021-01-03 01:00:00,38.081,38.173,37.951,38.021,44745.65,1702742.57858,7063
1609639200,2021-01-03 02:00:00,38.026,38.198,37.982,38.161,25435.14,968372.46715,5026
1609642800,2021-01-03 03:00:00,38.161,38.185,38.000,38.014,21467.38,817005.18217,5361
1609646400,2021-01-03 04:00:00,38.014,38.105,37.888,37.923,36858.00,1399812.88228,6479
1609650000,2021-01-03 05:00:00,37.923,38.091,37.852,37.911,96616.64,3667127.27214,10994
1609653600,2021-01-03 06:00:00,37.914,38.310,37.838,38.297,110503.42,4216862.94555,10904
1609657200,2021-01-03 07:00:00,38.298,38.299,38.070,38.101,85959.62,3280965.56759,9557
1609660800,2021-01-03 08:00:00,38.101,38.787,38.101,38.659,172253.50,6616099.89420,16701
1609664400,2021-01-03 09:00:00,38.657,38.834,38.164,38.300,169118.54,6499664.55341,14366
1609668000,2021-01-03 10:00:00,38.300,38.654,38.217,38.495,164359.09,6316302.98280,14642
1609671600,2021-01-03 11:00:00,38.504,40.000,38.401,39.975,601678.20,23656902.83626,44333
1609675200,2021-01-03 12:00:00,39.990,40.908,39.784,40.166,606929.30,24528154.24244,46445
1609678800,2021-01-03 13:00:00,40.166,40.516,39.600,40.471,451152.60,18119364.80059,27908
1609682400,2021-01-03 14:00:00,40.469,41.566,40.031,40.585,713055.65,29191990.91571,46693
1609686000,2021-01-03 15:00:00,40.574,40.787,39.850,40.355,310239.40,12515765.97400,22590
1609689600,2021-01-03 16:00:00,40.349,41.581,40.311,40.418,525376.45,21503795.54318,36634
1609693200,2021-01-03 17:00:00,40.415,41.071,40.317,40.851,253966.31,10336184.08153,20347
1609696800,2021-01-03 18:00:00,40.850,41.906,40.442,40.706,388762.69,15984794.34883,29094
1609700400,2021-01-03 19:00:00,40.698,40.832,40.230,40.451,120976.14,4899647.64036,12883
1609704000,2021-01-03 20:00:00,40.455,41.010,40.446,40.624,150706.63,6137168.15332,13746
1609707600,2021-01-03 21:00:00,40.628,41.215,40.570,40.826,147465.27,6033115.52070,12409
