epoch,btc_price,volume_binance_futures,volume_hitbtc_derivatives,volume_poloniex_futures,volume_perpetual_protocol,volume_huobi_dm,volume_bitfinex_futures,volume_bitforex_futures,volume_kraken_futures,volume_bitget_futures,volume_okex_swap,volume_mxc_futures,volume_bybit,volume_bingx_futures,volume_kumex,volume_gate_futures,volume_bitmex,volume_deribit,volume_dydx_perpetual,volume_crypto_com_futures,sum,date
1662249600,19814.56,24506.984655520002,0.019814560000000002,9.867650880000001,0.019814560000000002,684.0778694400001,32.33736192,2669.0608611200005,86.07444864,3762.80475856,7174.535143040001,2136.8417795200003,4759.2591664,3462.6736182400005,1718.5960470400003,918.1274521600001,424.76472272,169.7117064,295.59360608000003,13886.0,66697.3504768,2022-09-04 00:00:00+00:00
1662336000,19980.01,30957.566954269998,0.01998001,8.55144428,0.01998001,908.7907548499999,36.30367817,2828.49009566,117.24269867999999,4546.71101563,8625.929757279999,2665.1535139099997,5646.67050616,4526.81092567,2117.6213198699998,1242.8964820699998,663.63603215,298.82102956,457.92184918999993,20391.0,86040.15801741999,2022-09-05 00:00:00+00:00
1662422400,19785.73,51327.30976534,0.019785729999999998,12.425438439999999,0.019785729999999998,1305.12610799,76.63013228999999,3281.0280344400003,182.70143081999998,6743.27356995,16564.652727459998,4123.1482747,10117.808964369999,7224.1063804099995,3889.39966048,2282.36309842,830.50601675,513.36055058,781.97162106,25849.0,135104.85134495998,2022-09-06 00:00:00+00:00
1662508800,18859.5,59265.941031,0.0188595,17.577054,0.0188595,1643.0207805,80.6998005,3390.447753,218.39301,7277.8621905,19117.4791005,5860.2312945,12673.546281,10809.661896,4225.3766775,2638.9155375,843.7174515,744.497622,1158.8219775,31949.0,161915.22717650002,2022-09-07 00:00:00+00:00
1662595200,19280.63,52113.36417881001,0.01928063,8.38707405,0.01928063,1322.68977926,75.05949259,3390.42166298,152.33625763,6272.16246467,16335.147435530002,5091.47452536,9844.03413658,8320.9414891,3765.06358451,2355.76521529,568.52793681,562.43525773,915.81064437,28086.0,139179.65969653,2022-09-08 00:00:00+00:00
1662681600,19322.78,61836.00696758,0.019322779999999998,11.1105985,0.019322779999999998,1724.15233662,72.57636167999999,3489.53948576,159.74142225999998,6711.052690139999,21178.86827846,4140.620557859999,13376.75481562,10162.06255258,4508.83545354,2933.7970101799997,852.2312119,883.2056282399999,989.84805106,38963.0,171993.44206754,2022-09-09 00:00:00+00:00
1662768000,21359.58,43085.56223532001,0.021359580000000003,9.65453016,0.021359580000000003,1269.01536696,50.429968380000005,3397.3266373200004,88.38594204,5033.61998238,14666.619685740001,2839.2862502400003,9130.49422428,7528.86747756,3874.3714970400006,2243.1830916000004,533.6691063000001,388.25308566,658.70808762,31900.0,126697.48988776002,2022-09-10 00:00:00+00:00
1662854400,21707.39,34112.49045591,0.02170739,9.117103799999999,0.02170739,1041.88959783,38.92135027,3095.34356966,96.70642245,4660.51151083,11472.33390761,5744.79564133,6703.632765019999,5896.8124935,2749.76192086,1644.7689403,529.1827534199999,325.32865393000003,564.89140997,24202.0,102888.53191147,2022-09-11 00:00:00+00:00
1662940800,21739.8,51380.2128966,0.0217398,9.587251799999999,0.0217398,1419.2393633999998,51.740724,3453.6063677999996,132.721479,5995.0976868,17215.1171658,5630.2386234,10289.6864778,11955.8899692,3561.6966534000003,2184.8716397999997,787.6112142,521.537802,940.7463654,33291.0,148820.64516000001,2022-09-12 00:00:00+00:00
1663027200,22339.67,61616.138470829996,0.02233967,10.991117639999999,0.02233967,1978.8032892599997,68.96256129,3704.98959016,154.65753541,7817.767516499999,21922.52134209,7431.17952715,13538.041077029999,14640.905905589998,4300.02904028,3311.6326808,904.4662192899999,892.42513716,1292.05949379,34794.0,178379.61518360997,2022-09-13 00:00:00+00:00
