epoch,btc_price,date,volume_binance_futures,volume_hitbtc_derivatives,volume_poloniex_futures,volume_perpetual_protocol,volume_huobi_dm,volume_bitfinex_futures,volume_bitrue_futures,volume_bitforex_futures,volume_kraken_futures,volume_bitget_futures,volume_okex_swap,volume_mxc_futures,volume_bybit,volume_bingx_futures,volume_kumex,volume_gate_futures,volume_bitmex,volume_deribit,volume_dydx_perpetual,volume_crypto_com_futures,sum
1590451200,8883.69,2020-05-26 00:00:00+00:00,3098.92423377,0.0,0.0,0.0,3548.1369023100006,1.5013436100000002,0.0,421.8864381,53.701906050000005,0.0,2055.25056519,0.0,1111.1719452,0.0,67.13404532999999,27.07748712,1923.2033970300001,212.73772443000001,0.0,0.0,12520.72598814
1590537600,8839.13,2020-05-27 00:00:00+00:00,2526.80673658,0.0,0.0,0.0,3048.18281963,0.95462604,0.0,1530.38045081,44.80554997,0.0,1834.5702706299999,0.0,870.2035093699999,0.0,60.026531829999996,24.63465531,1505.9048998399999,165.6452962,0.0,0.0,11612.11534621
1590624000,9174.12,2020-05-28 00:00:00+00:00,3266.1151576800003,0.0,0.0,0.0,3939.9817940400003,1.32107328,0.0,477.3019412400001,42.200952,0.0,2395.62878148,0.0,1051.5559826400001,0.0,78.27359184000001,26.80677864,1918.9782027600002,236.53633596,0.0,0.0,13434.70059156
1590710400,9546.05,2020-05-29 00:00:00+00:00,4090.8833591,0.0,0.0,0.0,5426.242109399999,3.3888477499999996,0.0,542.4829294,64.84631765,0.0,3698.2638686499995,0.0,1293.9479853999999,0.0,86.4490288,35.32993105,2396.5740367,325.95942329999997,0.0,0.0,17964.367837199996
1590796800,9427.12,2020-05-30 00:00:00+00:00,3041.1417764000003,0.0,0.0,0.0,4169.86970824,2.0645392800000004,0.0,448.06158648,47.776644160000004,0.0,2351.8024806400003,0.0,989.7627559200001,0.0,73.55039024000001,29.422041520000004,1676.4058953600002,221.89555056000003,0.0,0.0,13051.753368800002
1590883200,9662.71,2020-05-31 00:00:00+00:00,3540.48458297,0.0,0.0,0.0,4580.59801279,1.7296250899999999,0.0,476.25565048,42.370983349999996,0.0,2866.19169104,0.0,1105.7039052999999,0.0,79.234222,28.959141869999996,1799.6990629199997,193.40880335999998,0.0,0.0,14714.635681169999
1590969600,9466.96,2020-06-01 00:00:00+00:00,3345.32072128,0.0,0.0,0.0,3974.75995776,0.9277620799999999,0.0,415.46700655999996,33.07755824,0.0,2396.087576,0.0,811.5930138399999,0.0,67.56569352,23.724201759999996,1707.2810333599998,160.48390591999998,0.0,0.0,12936.28843032
1591056000,10167.93,2020-06-02 00:00:00+00:00,4931.3748744899995,0.0,0.0,0.0,6370.09629777,5.46017841,0.0,573.74578611,96.35130468000001,0.0,4358.90007963,0.0,1600.32033477,0.0,89.33543298000001,44.60670891,3020.47511787,512.14846617,0.0,0.0,21602.814581789997
1591142400,9515.24,2020-06-03 00:00:00+00:00,4318.310884439999,0.0,0.0,0.0,6227.41057708,3.32081876,0.0,578.67883584,107.65542536,0.0,4505.20922852,0.0,1604.06012872,0.0,94.83839708,49.08912316,2837.6443880399997,500.66338307999996,0.0,0.0,20826.881190079996
1591228800,9645.23,2020-06-04 00:00:00+00:00,2791.3874333799995,0.0,0.0,0.0,3554.69164512,1.19600852,0.0,372.83636564999995,51.958854009999996,0.0,1986.18434252,0.0,730.02816824,0.0,61.58479355,27.28635567,1385.09360892,195.56668348,0.0,0.0,11157.814259059998
